961,677
353,137
828,951
765,322
535,927
460,967
938,234
509,365
274,806
146,908
980,13
903,672
807,777
888,403
896,905
288,466
671,104
223,163
663,935
740,370
805,370
517,360
63,524
702,173
13,940
60,176
378,653
126,214
379,697
884,148
858,116
947,132
534,92
987,558
637,795
446,359
924,666
249,615
337,377
248,355
498,289
79,837
317,796
325,153
579,509
567,876
738,850
172,357
423,225
506,303
79,853
692,201
493,901
753,950
838,854
42,664
693,6
3,80
161,394
790,172
510,368
921,811
385,170
431,729
423,622
214,952
581,888
478,50
316,329
951,638
896,644
231,382
553,201
708,129
134,869
176,653
472,334
136,913
45,66
431,135
810,310
491,686
355,118
165,8
370,98
537,956
906,304
400,634
907,900
936,606
855,404
472,309
899,81
369,733
664,230
790,267
929,567
892,330
434,191
346,57
423,54
723,635
361,504
180,244
458,671
970,570
395,413
979,180
554,119
819,938
534,770
964,347
66,351
573,420
521,283
411,707
728,835
183,702
983,675
50,534
287,187
588,785
796,24
498,574
995,599
895,62
469,478
906,644
266,937
578,658
497,876
68,922
918,507
897,844
737,460
937,738
503,907
117,293
337,10
953,500
508,177
834,855
960,520
168,847
954,129
107,372
172,582
816,475
715,600
323,131
736,327
847,315
508,178
408,277
38,214
374,434
564,281
543,686
259,393
397,861
402,25
589,144
502,259
87,370
823,397
549,101
528,149
314,162
515,92
503,605
894,528
452,816
347,21
689,312
985,957
202,877
74,242
993,915
154,698
943,15
878,664
639,847
987,394
110,316
325,492
18,798
186,868
13,784
309,659
269,307
717,178
651,465
151,459
916,406
250,335
828,560
927,184
935,656
871,496
729,936
866,602
39,201
716,906
193,102
548,721
604,570
272,685
972,150
742,423
820,318
882,568
616,633
377,307
453,593
826,622
523,772
889,392
363,185
146,773
962,99
133,623
361,218
51,400
234,572
253,318
856,198
102,903
873,122
588,832
706,155
948,608
443,305
150,961
356,0
153,187
445,27
926,663
382,953
731,460
81,149
395,678
539,686
620,578
386,205
65,259
44,497
389,763
433,12
903,221
219,172
68,949
241,974
172,148
386,157
717,920
586,27
395,699
298,271
890,926
379,55
331,598
820,138
63,346
986,673
440,726
756,602
637,242
313,312
774,596
508,344
815,911
40,264
167,351
649,20
921,45
969,169
716,907
617,288
96,53
656,792
930,487
936,266
722,903
123,808
117,49
888,445
975,845
869,527
409,697
69,266
942,357
237,250
231,887
547,937
955,273
866,272
34,991
279,445
867,590
623,349
884,398
132,776
895,894
76,898
527,468
553,99
486,431
625,570
244,842
729,681
319,378
394,568
184,269
524,249
729,750
997,270
871,661
972,943
226,12
586,529
642,67
6,50
588,761
418,712
255,410
399,592
41,334
374,105
200,415
111,160
277,714
805,425
184,604
475,150
958,966
688,956
407,165
528,458
401,647
855,133
299,143
837,585
484,278
544,987
559,991
668,646
770,529
59,590
246,266
658,853
786,940
827,339
811,136
799,119
395,509
309,412
424,692
195,36
252,893
60,13
29,312
178,438
841,67
937,236
472,485
721,447
586,305
86,612
354,252
969,391
905,963
893,665
399,178
442,633
837,142
919,629
558,410
475,190
199,793
907,263
428,927
278,985
846,679
888,30
447,124
479,607
614,438
178,97
6,272
586,122
644,748
38,636
167,770
852,799
824,599
841,130
252,654
680,805
947,834
461,282
588,586
100,173
388,118
720,633
433,714
908,426
4,57
585,957
386,464
488,880
757,757
39,166
724,681
871,480
49,99
624,273
242,249
239,946
869,942
707,125
573,127
46,238
531,26
846,48
201,431
971,861
131,982
190,61
139,478
438,528
163,679
873,797
295,588
891,774
22,530
521,353
320,633
770,171
410,106
438,345
311,556
333,255
668,9
113,326
23,266
155,311
834,372
687,671
182,325
401,751
167,321
200,327
649,424
496,752
615,314
408,722
264,67
224,575
334,241
213,985
263,445
146,313
293,438
143,936
526,961
573,592
83,382
778,550
917,639
121,205
193,972
687,823
706,25
745,145
88,20
461,300
713,444
68,274
768,151
897,758
626,516
461,260
85,756
275,810
493,918
347,264
748,191
833,339
838,453
216,638
601,160
859,443
5,292
740,191
787,896
49,893
389,925
256,334
500,263
429,139
107,193
635,854
103,118
988,238
653,696
598,163
267,826
970,636
286,310
166,192
81,572
516,979
119,42
466,95
190,214
608,614
465,849
611,429
267,465
893,886
760,964
928,734
283,497
279,475
178,737
767,740
548,271
695,137
511,63
458,719
604,796
979,40
904,608
926,598
570,92
951,458
706,97
217,118
4,234
847,201
870,316
364,722
712,994
163,863
988,396
246,297
972,135
643,194
832,334
89,590
863,532
303,499
190,464
420,754
178,657
549,628
827,443
320,615
587,962
415,106
538,688
383,713
713,650
791,156
915,857
164,791
783,908
18,387
352,352
626,869
908,227
59,216
947,185
408,199
911,809
657,901
494,892
436,473
266,533
345,123
253,361
700,954
245,745
727,900
816,808
755,455
748,598
631,115
161,733
739,708
283,813
640,222
369,279
996,887
597,3
531,480
967,843
773,281
385,678
59,970
16,396
140,524
7,635
132,338
51,117
178,317
764,232
264,675
873,575
163,101
758,880
367,473
321,853
893,917
244,972
656,233
49,688
627,66
624,58
522,835
7,391
51,32
877,685
833,718
133,645
304,865
870,199
12,372
924,258
862,993
339,744
537,406
480,561
704,128
904,399
48,622
156,118
202,643
130,830
546,746
431,624
805,297
900,479
434,487
88,9
823,360
211,92
634,456
423,750
986,697
511,786
158,645
844,332
781,366
718,800
148,477
969,27
705,227
939,248
17,694
958,406
684,402
24,776
983,291
301,647
280,556
321,194
983,284
209,329
822,554
553,197
430,667
164,576
235,60
943,935
481,843
873,773
859,879
265,171
668,67
732,96
882,602
574,112
601,250
349,940
76,77
453,662
863,516
492,401
725,920
561,919
785,719
56,32
155,675
171,97
334,159
84,19
33,256
588,805
243,97
770,197
295,31
733,884
523,981
386,908
730,682
394,960
783,952
172,594
57,498
79,201
558,558
212,643
799,926
570,704
855,367
661,355
113,590
312,842
652,450
872,886
524,119
554,646
524,970
727,904
775,986
998,538
548,640
517,644
811,426
494,832
369,990
170,961
367,606
589,474
938,298
501,615
464,998
630,143
21,359
529,73
332,291
266,577
687,634
400,229
964,752
809,558
872,350
317,820
762,523
313,244
766,435
195,733
471,643
344,880
22,718
552,34
584,344
304,715
4,744
214,85
119,459
946,461
538,258
294,193
480,274
198,381
696,616
568,947
865,633
683,473
800,850
312,163
342,283
752,768
240,153
257,868
69,812
667,749
402,384
938,247
34,330
782,334
68,710
205,787
827,202
883,57
584,104
64,13
284,213
873,238
731,947
344,769
863,56
267,267
11,389
707,76
476,917
893,415
156,947
565,369
805,512
160,401
398,369
243,511
225,415
282,314
85,944
286,935
150,638
583,796
568,727
588,536
642,443
63,75
765,233
392,587
660,293
536,951
133,770
928,529
384,508
